feature_name,percent_missing
ABPd,53.84615384615385
ABPm,53.42465753424658
ABPs,53.84615384615385
ALT,65.01580611169652
AST,65.12118018967334
Albumin,71.4436248682824
Alkaline Phosphate,65.85879873551106
Anion gap,0.8429926238145417
Apnea Interval,43.51949420442571
Arterial Base Excess,42.99262381454162
BUN,0.8429926238145417
CK (CPK),70.49525816649104
Calcium non-ionized,3.6880927291886194
Chloride (serum),0.7376185458377239
Creatinine (serum),0.8429926238145417
Cuff Pressure,63.013698630136986
Expiratory Ratio,51.949420442571125
FiO2,35.7218124341412
Fspn High,44.15173867228662
Glucose (serum),0.8429926238145417
Glucose (whole blood),68.38777660695469
Glucose FS (range 70 -100),20.54794520547945
HCO3 (serum),0.8429926238145417
HR,0.31612223393045313
Hematocrit (serum),1.2644889357218125
Hemoglobin,1.36986301369863
ICP,96.73340358271865
INR,15.384615384615385
IT,47.31296101159115
Inspiratory Ratio,52.054794520547944
Ionized Calcium,59.11485774499473
Lactic Acid,47.83983140147524
Magnesium,2.0021074815595363
Mean Airway Pressure,43.62486828240253
Minute Volume,43.51949420442571
NBPd,6.954689146469969
NBPm,7.060063224446786
NBPs,6.8493150684931505
O2 Flow,49.73656480505795
PCO2 (Arterial),42.99262381454162
PEEP set,43.51949420442571
PH (Arterial),42.887249736564804
PH (dipstick),75.13171759747102
PO2 (Arterial),42.99262381454162
PSV Level,61.64383561643836
PT,15.384615384615385
PTT,17.070600632244467
Paw High,43.51949420442571
Peak Insp. Pressure,43.83561643835616
Phosphorous,3.4773445732349844
Plateau Pressure,53.10853530031612
Platelet Count,1.4752370916754478
Potassium (serum),0.7376185458377239
RR,0.31612223393045313
Respiratory Rate (Set),47.945205479452056
Respiratory Rate (Total),44.46786090621707
Respiratory Rate (spontaneous),44.0463645943098
Sodium (serum),0.7376185458377239
SpO2,0.31612223393045313
Specific Gravity (urine),76.1854583772392
Spont RR,79.34668071654373
Spont Vt,79.34668071654373
TCO2 (calc) Arterial,42.887249736564804
Temperature F,3.266596417281349
Tidal Volume (observed),43.83561643835616
Tidal Volume (set),48.050579557428875
Tidal Volume (spontaneous),62.27608008429926
Total Bilirubin,65.64805057955743
Total PEEP Level,62.27608008429926
Troponin-T,69.44151738672286
Ventilator Tank #1,50.47418335089568
Ventilator Tank #2,50.36880927291886
Vti High,43.94099051633298
WBC,1.4752370916754478
