feature_name,percent_missing
ABPd,67.06181945907973
ABPm,66.77643133122585
ABPs,67.05742887249737
ALT,98.13400070249385
AST,98.13839128907622
Albumin,98.5730593607306
Alkaline Phosphate,98.17790656831752
Anion gap,91.66666666666667
Apnea Interval,87.16631541974007
Arterial Base Excess,92.9004214963119
BUN,91.60080786793115
CK (CPK),97.82226905514577
Calcium non-ionized,92.22427116262733
Chloride (serum),91.12662451703548
Creatinine (serum),91.60519845451353
Cuff Pressure,97.2119775201967
Expiratory Ratio,91.67105725324903
FiO2,82.62644889357217
Fspn High,88.34738321039691
Glucose (serum),91.60080786793115
Glucose (whole blood),96.69388830347735
Glucose FS (range 70 -100),89.74358974358974
HCO3 (serum),91.64471373375483
HR,7.79768177028451
Hematocrit (serum),90.74025289778714
Hemoglobin,91.37249736564804
ICP,97.8047067088163
INR,93.67316473480857
IT,90.81928345626976
Inspiratory Ratio,91.74130663856691
Ionized Calcium,95.67966280295047
Lactic Acid,94.63470319634703
Magnesium,91.97839831401475
Mean Airway Pressure,86.56041447137338
Minute Volume,86.38040042149632
NBPd,41.02564102564103
NBPm,40.529504741833506
NBPs,40.99051633298209
O2 Flow,90.80172110994029
PCO2 (Arterial),92.9004214963119
PEEP set,85.94134176325957
PH (Arterial),92.76870389884088
PH (dipstick),98.87600983491394
PO2 (Arterial),92.9004214963119
PSV Level,94.85862311204777
PT,93.67316473480857
PTT,93.84000702493853
Paw High,87.15753424657534
Peak Insp. Pressure,86.95117667720407
Phosphorous,92.23305233579207
Plateau Pressure,93.52388479100807
Platelet Count,91.75886898489638
Potassium (serum),90.99490691956446
RR,8.877766069546892
Respiratory Rate (Set),90.30997541271513
Respiratory Rate (Total),88.11468212153143
Respiratory Rate (spontaneous),87.53073410607657
Sodium (serum),90.8807516684229
SpO2,10.177379697927643
Specific Gravity (urine),98.92869687390235
Spont RR,99.06919564453811
Spont Vt,99.06919564453811
TCO2 (calc) Arterial,92.89603090972955
Temperature F,72.2646645591851
Tidal Volume (observed),86.9731296101159
Tidal Volume (set),90.70073761854584
Tidal Volume (spontaneous),95.05619950825431
Total Bilirubin,98.17351598173516
Total PEEP Level,95.29329118370214
Troponin-T,97.76080084299262
Ventilator Tank #1,94.62153143659992
Ventilator Tank #2,94.63470319634703
Vti High,87.72831050228311
WBC,92.02669476642079
