feature_name,percent_missing
ABPd,50.10548523206751
ABPm,49.947257383966246
ABPs,50.10548523206751
ALT,66.35021097046413
AST,66.40295358649789
Albumin,69.14556962025317
Alkaline Phosphate,67.40506329113924
Anion gap,1.7932489451476794
Apnea Interval,47.36286919831224
Arterial Base Excess,50.052742616033754
BUN,1.7932489451476794
CK (CPK),74.94725738396625
Calcium non-ionized,3.0063291139240507
Chloride (serum),1.6877637130801688
Creatinine (serum),1.740506329113924
Cuff Pressure,63.13291139240506
Expiratory Ratio,59.91561181434599
FiO2,36.972573839662445
Fspn High,48.04852320675106
Glucose (serum),1.8459915611814346
Glucose (whole blood),70.67510548523207
Glucose FS (range 70 -100),15.664556962025317
HCO3 (serum),1.7932489451476794
HR,0.0
Hematocrit (serum),2.0042194092827006
Hemoglobin,2.109704641350211
ICP,96.62447257383967
INR,25.10548523206751
IT,56.27637130801688
Inspiratory Ratio,60.12658227848101
Ionized Calcium,60.33755274261603
Lactic Acid,57.38396624472574
Magnesium,2.3734177215189876
Mean Airway Pressure,47.41561181434599
Minute Volume,47.41561181434599
NBPd,9.071729957805907
NBPm,9.018987341772151
NBPs,9.018987341772151
O2 Flow,36.28691983122363
PCO2 (Arterial),50.052742616033754
PEEP set,47.20464135021097
PH (Arterial),49.5253164556962
PH (dipstick),69.25105485232068
PO2 (Arterial),50.052742616033754
PSV Level,56.17088607594937
PT,25.10548523206751
PTT,26.054852320675106
Paw High,47.36286919831224
Peak Insp. Pressure,47.67932489451477
Phosphorous,3.111814345991561
Plateau Pressure,61.234177215189874
Platelet Count,2.109704641350211
Potassium (serum),1.6877637130801688
RR,0.15822784810126583
Respiratory Rate (Set),56.75105485232068
Respiratory Rate (Total),49.41983122362869
Respiratory Rate (spontaneous),47.62658227848101
Sodium (serum),1.6877637130801688
SpO2,0.0
Specific Gravity (urine),69.62025316455696
Spont RR,68.56540084388186
Spont Vt,68.56540084388186
TCO2 (calc) Arterial,50.0
Temperature F,1.8459915611814346
Tidal Volume (observed),47.732067510548525
Tidal Volume (set),56.856540084388186
Tidal Volume (spontaneous),55.80168776371308
Total Bilirubin,66.87763713080169
Total PEEP Level,66.40295358649789
Troponin-T,75.84388185654008
Ventilator Tank #1,53.79746835443038
Ventilator Tank #2,53.744725738396625
Vti High,47.46835443037975
WBC,2.109704641350211
